index	radiation	nominal	deviation	normDev	
405	972.880000	989.32786647	16.4478664696	0.0166252938253	
406	963.720000	981.272033868	17.5520338678	0.0178870213988	
407	953.140000	972.796093233	19.6560932326	0.0202057690911	
408	943.480000	963.878062942	20.3980629415	0.0211624931885	
409	930.870000	954.458355656	23.5883556563	0.0247138657402	
410	922.190000	944.766265491	22.5762654909	0.0238961384583	
411	910.180000	934.549685816	24.3696858164	0.0260763939962	
412	896.170000	923.909219705	27.7392197045	0.0300237502916	
413	885.180000	912.73724115	27.5572411501	0.0301918667364	
414	872.220000	901.260286021	29.040286021	0.0322218636186	
415	857.950000	889.536414626	31.5864146262	0.0355088494488	
416	846.580000	877.21275152	30.6327515199	0.0349205497376	
417	832.550000	864.446915501	31.8969155006	0.0368986399611	
418	819.380000	851.373784826	31.993784826	0.0375790110011	
419	803.350000	837.870861307	34.5208613067	0.041200694404	
420	789.380000	824.081030845	34.7010308447	0.0421087606023	
421	773.930000	809.826428556	35.8964285561	0.0443260769102	
422	757.440000	795.254043712	37.814043712	0.0475496402828	
423	742.180000	780.575794495	38.3957944949	0.0491890662837	
424	724.760000	764.992099246	40.2320992458	0.0525915225602	
425	707.950000	749.630484818	41.6804848185	0.0556013738269	
426	689.680000	733.782931542	44.1029315417	0.060103512423	
427	671.970000	717.337354531	45.3673545313	0.0632440988118	
428	654.260000	700.676594483	46.4165944827	0.0662453903102	
429	637.190000	683.758080487	46.5680804866	0.0681060770111	
430	602.400000	649.192313261	46.7923132608	0.0720777376827	
431	581.470000	631.208329168	49.7383291685	0.0787985944894	
432	563.340000	613.303689939	49.9636899394	0.0814664753514	
433	543.590000	594.578782292	50.9887822917	0.085756141676	
434	523.130000	576.018771773	52.8887717732	0.0918177919973	
435	503.770000	557.143874441	53.3738744414	0.0957990868964	
436	483.130000	538.024715398	54.8947153982	0.102030099784	
437	463.300000	518.800181577	55.500181577	0.106977953262	
438	444.080000	499.090122839	55.0101228388	0.110220820492	
439	423.150000	479.359559215	56.2095592155	0.117259702315	
440	402.110000	459.557151404	57.4471514035	0.125005456292	
441	381.170000	439.290273448	58.1202734479	0.132304940402	
442	359.310000	418.970495192	59.6604951916	0.142397843944	
443	338.350000	398.266884207	59.9168842068	0.150444052927	
444	317.240000	377.808697142	60.5686971417	0.160315783093	
445	293.730000	356.636648686	62.9066486863	0.176388626682	
446	269.040000	335.663692529	66.6236925295	0.19848346429	
447	241.230000	314.269501915	73.0395019154	0.232410404033	
448	213.900000	293.313985807	79.413985807	0.270747354881	
449	186.750000	271.957257263	85.2072572628	0.313311209711	
450	159.220000	250.132925437	90.9129254374	0.363458450256	
451	133.580000	228.352368251	94.7723682514	0.415026868244	
452	21.470000	206.918153942	185.448153942	0.896239167077	
453	20.160000	185.19006468	165.03006468	0.891138868411	
454	19.050000	162.957223138	143.907223138	0.883098155251	
455	17.990000	141.251175429	123.261175429	0.872638227998	
456	16.280000	119.426427693	103.146427693	0.863681763623	
457	14.630000	97.6396297701	83.0096297701	0.850163299119	
458	11.930000	75.1665291009	63.2365291009	0.841285740572	
459	10.840000	53.2660012995	42.4260012995	0.796493077469	
460	7.660000	30.9935789221	23.3335789221	0.752852033666	
592	4.430000	0.0	0.0	0.0	
593	6.520000	0.0	0.0	0.0	
594	8.520000	0.0	0.0	0.0	
595	10.410000	12.6000089029	2.19000890291	0.173810107579	
596	10.420000	34.6775157719	24.2575157719	0.699517114532	
597	14.670000	56.6846842334	42.0146842334	0.741199934367	
598	18.180000	78.611129326	60.431129326	0.768735035918	
599	35.460000	122.768318985	87.3083189845	0.711163268396	
