index	modelNormRad	normRad	modelRad	rad	
15798	0.528011464265	0.537997677286	433.971866022	424.790000	
15799	0.460290694819	0.6400468291	495.517599498	330.480000	
15800	0.477030254403	0.69028915109	479.200469164	283.790000	
15801	0.665519781822	0.333849154614	305.729042389	608.890000	
15802	0.526599919128	0.501628129587	431.394024205	454.150000	
15803	0.58497581444	0.425116586416	376.84619132	522.000000	
15804	0.515529480284	0.265298818456	438.093319119	664.370000	
15805	0.545641636333	0.284991278459	408.974730605	643.590000	
15806	0.487187237775	0.470419173512	459.195136627	474.210000	
15807	0.563889798172	0.473179836363	388.25401888	469.010000	
15808	0.534309667423	0.288901924433	411.964496427	629.060000	
15809	0.51194944035	0.355665159993	428.776536131	566.080000	
15810	0.544654651577	0.164070629721	397.093603059	728.990000	
15811	0.49055692858	0.40255169083	440.691460885	516.820000	
15812	0.52749893223	0.570575694833	405.234208113	368.290000	
15813	0.539933710721	0.367853301765	390.89281754	537.100000	
15814	0.528886141916	0.489396000069	396.365485429	429.590000	
15815	0.504301615473	0.491092981063	412.683424951	423.680000	
15816	0.536870881842	0.632126145325	381.255749384	302.840000	
15817	0.575773985758	0.446202037325	345.119626792	450.530000	
15818	0.529540033455	0.553352558947	378.00276611	358.870000	
15819	0.475924749272	0.644911136747	415.554084809	281.560000	
15820	0.463486039199	0.323064619626	419.471912868	529.260000	
15821	0.54358058603	0.437772906248	351.739369878	433.280000	
15822	0.503336347028	0.369824386453	376.815373394	478.110000	
15823	0.511452129491	0.354419004384	364.673580725	481.890000	
15824	0.491327588272	0.381113420354	373.281098844	454.160000	
15825	0.56605769389	0.0	312.836584066	954.640000	
15826	0.535082560694	0.494714952416	328.920649835	357.480000	
15827	0.528725214682	0.508723022652	326.905246421	340.780000	
15828	0.60330255997	0.364529111898	269.579339841	431.840000	
15829	0.524174096726	0.519022263893	316.443819026	319.870000	
15830	0.558763691294	0.439277741354	286.874840835	364.560000	
15831	0.555817990521	0.481977265601	282.000324652	328.880000	
15832	0.512907551851	0.685011515724	301.652690824	195.070000	
15833	0.625391170145	0.472807563471	226.047554358	318.120000	
15834	0.473027686023	0.517247191291	309.479133089	283.510000	
15835	0.593479084399	0.546678939938	231.95635344	258.660000	
15836	0.562091093988	0.512712228387	242.442087707	269.780000	
